date,value,state,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,dateChecked,death,hospitalized,total,totalTestResults,posNeg,fips,deathIncrease,hospitalizedIncrease,negativeIncrease,positiveIncrease,totalTestResultsIncrease,state_code,POPESTIMATE2019,name,description,latitude,longitude,Stay At Home Order Date,Emergency Declaration Date
2020-03-21,10776,DE,45.0,36.0,,,,,,,,,2020-03-21T20:00:00Z,0.0,,81.0,81.0,81.0,10,0.0,0.0,0.0,7.0,7.0,,,,,,,,
2020-03-07,5325,FL,14.0,100.0,88.0,,,,,,,,2020-03-07T21:00:00Z,,,202.0,114.0,114.0,12,0.0,0.0,45.0,5.0,50.0,,,,,,,,
2020-03-14,6463,FL,77.0,478.0,221.0,,,,,,,,2020-03-14T20:00:00Z,3.0,,776.0,555.0,555.0,12,1.0,0.0,0.0,27.0,27.0,,,,,,,,
2020-03-21,74313,FL,658.0,6579.0,1002.0,,158.0,,,,,,2020-03-21T20:00:00Z,12.0,158.0,8239.0,7237.0,7237.0,12,2.0,158.0,4709.0,138.0,4847.0,,,,,,,,
2020-03-07,4569,GA,6.0,,,,,,,,,,2020-03-07T21:00:00Z,,,6.0,6.0,6.0,13,0.0,0.0,0.0,4.0,4.0,,,,,,,,
2020-03-14,5445,GA,66.0,,,,,,,,,,2020-03-14T20:00:00Z,1.0,,66.0,66.0,66.0,13,0.0,0.0,0.0,24.0,24.0,,,,,,,,
2020-03-21,12140,GA,507.0,2557.0,,,,,,,,,2020-03-21T20:00:00Z,14.0,,3064.0,3064.0,3064.0,13,1.0,0.0,591.0,87.0,678.0,,,,,,,,
2020-03-07,1275,HI,1.0,,,,,,,,,,2020-03-07T21:00:00Z,,,1.0,1.0,1.0,15,,,,,,,,,,,,,
2020-03-14,1589,HI,2.0,,,,,,,,,,2020-03-14T20:00:00Z,,,2.0,2.0,2.0,15,0.0,0.0,0.0,0.0,0.0,,,,,,,,
2020-03-21,8815,HI,37.0,124.0,,,,,,,,,2020-03-21T20:00:00Z,,,161.0,161.0,161.0,15,0.0,0.0,0.0,11.0,11.0,,,,,,,,
2020-03-07,938,ID,0.0,27.0,,,,,,,,,2020-03-07T21:00:00Z,,,27.0,27.0,27.0,16,,,,,,,,,,,,,
2020-03-14,1031,ID,2.0,174.0,,,,,,,,,2020-03-14T20:00:00Z,,,176.0,176.0,176.0,16,0.0,0.0,43.0,2.0,45.0,,,,,,,,
2020-03-21,13586,ID,31.0,880.0,,,,,,,,,2020-03-21T20:00:00Z,,,911.0,911.0,911.0,16,0.0,0.0,290.0,8.0,298.0,,,,,,,,
2020-03-07,8727,IL,6.0,191.0,44.0,,,,,,,,2020-03-07T21:00:00Z,,,241.0,197.0,197.0,17,0.0,0.0,11.0,1.0,12.0,,,,,,,,
2020-03-14,10870,IL,46.0,316.0,82.0,,,,,,,,2020-03-14T20:00:00Z,,,444.0,362.0,362.0,17,0.0,0.0,22.0,14.0,36.0,,,,,,,,
2020-03-21,114114,IL,753.0,5488.0,,,,,,,,,2020-03-21T20:00:00Z,6.0,,6241.0,6241.0,6241.0,17,1.0,0.0,1792.0,168.0,1960.0,,,,,,,,
2020-03-07,2223,IN,1.0,,,,,,,,,,2020-03-07T21:00:00Z,,,1.0,1.0,1.0,18,0.0,0.0,0.0,0.0,0.0,,,,,,,,
2020-03-14,2596,IN,15.0,74.0,,,,,,,,,2020-03-14T20:00:00Z,0.0,,89.0,89.0,89.0,18,0.0,0.0,13.0,3.0,16.0,,,,,,,,
2020-03-21,59755,IN,126.0,707.0,,,1.0,,,,,,2020-03-21T20:00:00Z,4.0,1.0,833.0,833.0,833.0,18,2.0,1.0,232.0,47.0,279.0,,,,,,,,
2020-03-07,2221,IA,0.0,15.0,2.0,,,,,,,,2020-03-07T21:00:00Z,,,17.0,15.0,15.0,19,0.0,0.0,0.0,0.0,0.0,,,,,,,,
