date,value,state
2019-11-02,663,VT
2019-11-09,636,VT
2019-11-16,693,VT
2019-11-23,621,VT
2019-11-30,1124,VT
2019-12-07,977,VT
2019-12-14,539,VT
2019-12-21,895,VT
2019-12-28,1647,VT
2020-01-04,680,VT
2020-01-11,649,VT
2020-01-18,755,VT
2020-01-25,518,VT
2020-02-01,481,VT
2020-02-08,475,VT
2020-02-15,543,VT
2020-02-22,610,VT
2020-02-29,863,VT
2020-03-07,446,VT
2020-03-14,659,VT
2020-03-21,3784,VT
1986-02-15,0,VA
1986-02-22,5270,VA
1986-03-01,5882,VA
1986-03-08,6607,VA
1986-03-15,5450,VA
1986-03-22,4910,VA
1986-03-29,4011,VA
1986-04-05,5253,VA
1986-04-12,7561,VA
1986-04-19,5040,VA
1986-04-26,5007,VA
1986-05-03,4679,VA
1986-05-10,4584,VA
1986-05-17,4361,VA
1986-05-24,4081,VA
1986-05-31,3385,VA
1986-06-07,3993,VA
1986-06-14,4383,VA
1986-06-21,4190,VA
1986-06-28,8082,VA
1986-07-05,7887,VA
1986-07-12,8279,VA
1986-07-19,5299,VA
1986-07-26,4745,VA
1986-08-02,4294,VA
1986-08-09,4375,VA
1986-08-16,4544,VA
1986-08-23,4075,VA
1986-08-30,4075,VA
1986-09-06,3508,VA
1986-09-13,4055,VA
1986-09-20,4114,VA
1986-09-27,4475,VA
1986-10-04,3242,VA
1986-10-11,4958,VA
1986-10-18,4084,VA
1986-10-25,4669,VA
1986-11-01,3588,VA
1986-11-08,4196,VA
1986-11-15,4556,VA
1986-11-22,7756,VA
1986-11-29,5185,VA
1986-12-06,6437,VA
1986-12-13,7836,VA
1986-12-20,12102,VA
1986-12-27,13339,VA
1987-01-03,9483,VA
1987-01-10,14582,VA
1987-01-17,10790,VA
1987-01-24,5277,VA
1987-01-31,7724,VA
1987-02-07,9824,VA
1987-02-14,6463,VA
1987-02-21,5215,VA
1987-02-28,6712,VA
1987-03-07,5114,VA
1987-03-14,5486,VA
1987-03-21,4580,VA
1987-03-28,4281,VA
1987-04-04,4212,VA
1987-04-11,5657,VA
1987-04-18,4438,VA
1987-04-25,4354,VA
1987-05-02,3537,VA
1987-05-09,3746,VA
1987-05-16,3804,VA
1987-05-23,3265,VA
1987-05-30,3279,VA
1987-06-06,3668,VA
1987-06-13,4014,VA
