date,state,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,dateChecked,death,hospitalized,total,totalTestResults,posNeg,fips,deathIncrease,hospitalizedIncrease,negativeIncrease,positiveIncrease,totalTestResultsIncrease
2020-04-15,VI,51.0,331.0,35.0,,,,,,,44.0,2020-04-15T20:00:00Z,1.0,,417.0,382.0,382.0,78,0.0,0.0,5.0,0.0,5.0
2020-04-15,VT,759.0,10322.0,,63.0,,,,,,15.0,2020-04-15T20:00:00Z,30.0,,11081.0,11081.0,11081.0,50,1.0,0.0,489.0,7.0,496.0
2020-04-15,WA,11100.0,130828.0,,645.0,,194.0,,,,,2020-04-15T20:00:00Z,551.0,,141928.0,141928.0,141928.0,53,9.0,0.0,3719.0,311.0,4030.0
2020-04-15,WI,3721.0,39326.0,280.0,406.0,1091.0,163.0,290.0,,,,2020-04-15T20:00:00Z,182.0,1091.0,43327.0,43047.0,43047.0,55,12.0,42.0,1329.0,166.0,1495.0
2020-04-15,WV,702.0,16954.0,,82.0,164.0,36.0,73.0,23.0,50.0,211.0,2020-04-15T20:00:00Z,10.0,164.0,17656.0,17656.0,17656.0,54,1.0,0.0,556.0,62.0,618.0
2020-04-15,WY,287.0,6042.0,,,43.0,,,,,129.0,2020-04-15T20:00:00Z,2.0,43.0,6329.0,6329.0,6329.0,56,1.0,0.0,353.0,12.0,365.0
2020-04-14,AK,285.0,8063.0,,,32.0,,,,,98.0,2020-04-14T20:00:00Z,9.0,32.0,8348.0,8348.0,8348.0,02,1.0,0.0,510.0,8.0,518.0
2020-04-14,AL,3876.0,29241.0,,,493.0,,210.0,,132.0,,2020-04-14T20:00:00Z,110.0,493.0,33117.0,33117.0,33117.0,01,11.0,36.0,3793.0,142.0,3935.0
2020-04-14,AR,1480.0,19651.0,,81.0,130.0,,43.0,29.0,39.0,427.0,2020-04-14T20:00:00Z,30.0,130.0,21131.0,21131.0,21131.0,05,0.0,0.0,257.0,70.0,327.0
2020-04-14,AS,0.0,3.0,17.0,,,,,,,,2020-04-14T20:00:00Z,,,20.0,3.0,3.0,60,0.0,0.0,0.0,0.0,0.0
2020-04-14,AZ,3806.0,40290.0,,580.0,,286.0,,216.0,,249.0,2020-04-14T20:00:00Z,131.0,,44096.0,44096.0,44096.0,04,9.0,0.0,645.0,104.0,749.0
2020-04-14,CA,23338.0,178870.0,13200.0,5163.0,,1552.0,,,,,2020-04-14T20:00:00Z,758.0,,215408.0,202208.0,202208.0,06,71.0,0.0,10336.0,990.0,11326.0
2020-04-14,CO,7691.0,31051.0,,888.0,1493.0,,,,,,2020-04-14T20:00:00Z,308.0,1493.0,38742.0,38742.0,38742.0,08,4.0,21.0,1201.0,7.0,1208.0
2020-04-14,CT,13989.0,31852.0,,1779.0,,,,,,,2020-04-14T20:00:00Z,671.0,,45841.0,45841.0,45841.0,09,69.0,0.0,924.0,608.0,1532.0
2020-04-14,DC,2058.0,9226.0,,295.0,,95.0,,31.0,,518.0,2020-04-14T20:00:00Z,67.0,,11284.0,11284.0,11284.0,11,14.0,0.0,247.0,103.0,350.0
2020-04-14,DE,1761.0,10543.0,,204.0,,,,,,277.0,2020-04-14T20:00:00Z,41.0,,12304.0,12304.0,12304.0,10,6.0,0.0,348.0,136.0,484.0
2020-04-14,FL,21367.0,181813.0,1275.0,,3060.0,,,,,,2020-04-14T20:00:00Z,537.0,3060.0,204455.0,203180.0,203180.0,12,54.0,227.0,6207.0,766.0,6973.0
2020-04-14,GA,14223.0,47572.0,,,2769.0,,,,,,2020-04-14T20:00:00Z,501.0,2769.0,61795.0,61795.0,61795.0,13,37.0,180.0,3866.0,908.0,4774.0
2020-04-14,GU,133.0,811.0,,13.0,,2.0,,2.0,,66.0,2020-04-14T20:00:00Z,5.0,,944.0,944.0,944.0,66,0.0,0.0,41.0,0.0,41.0
2020-04-14,HI,504.0,18916.0,,,44.0,,,,,315.0,2020-04-14T20:00:00Z,9.0,44.0,19420.0,19420.0,19420.0,15,0.0,0.0,571.0,5.0,576.0
2020-04-14,IA,1899.0,16986.0,,163.0,,73.0,,41.0,,741.0,2020-04-14T20:00:00Z,49.0,,18885.0,18885.0,18885.0,19,6.0,0.0,0.0,189.0,189.0
2020-04-14,ID,1453.0,13661.0,,,135.0,,38.0,,,,2020-04-14T20:00:00Z,33.0,135.0,15114.0,15114.0,15114.0,16,6.0,3.0,206.0,27.0,233.0
2020-04-14,IL,23247.0,87369.0,,4283.0,,1189.0,,796.0,,,2020-04-14T20:00:00Z,868.0,,110616.0,110616.0,110616.0,17,74.0,0.0,3626.0,1222.0,4848.0
2020-04-14,IN,8527.0,37490.0,,,,721.0,,435.0,,,2020-04-14T20:00:00Z,388.0,,46017.0,46017.0,46017.0,18,38.0,0.0,1187.0,291.0,1478.0
2020-04-14,KS,1426.0,12721.0,,,327.0,,,,,,2020-04-14T20:00:00Z,69.0,327.0,14147.0,14147.0,14147.0,20,7.0,18.0,233.0,50.0,283.0
2020-04-14,KY,2048.0,24635.0,,299.0,673.0,136.0,259.0,,,629.0,2020-04-14T20:00:00Z,104.0,673.0,26683.0,26683.0,26683.0,21,7.0,6.0,732.0,85.0,817.0
2020-04-14,LA,21518.0,96904.0,,1977.0,,,,436.0,,,2020-04-14T20:00:00Z,1013.0,,118422.0,118422.0,118422.0,22,129.0,0.0,9829.0,502.0,10331.0
2020-04-14,MA,28109.0,98820.0,,3616.0,3616.0,,,,,,2020-04-14T20:00:00Z,1329.0,3616.0,126929.0,126929.0,126929.0,25,118.0,131.0,3320.0,1315.0,4635.0
2020-04-14,MD,9472.0,44261.0,,,2122.0,,,,,607.0,2020-04-14T20:00:00Z,302.0,2122.0,53733.0,53733.0,53733.0,24,40.0,147.0,1446.0,536.0,1982.0
2020-04-14,ME,734.0,11608.0,,58.0,124.0,21.0,,9.0,,292.0,2020-04-14T20:00:00Z,20.0,124.0,12342.0,12342.0,12342.0,23,1.0,0.0,0.0,36.0,36.0
2020-04-14,MI,27001.0,59225.0,,3910.0,,1497.0,,1235.0,,452.0,2020-04-14T20:00:00Z,1768.0,,86226.0,86226.0,86226.0,26,166.0,0.0,2216.0,1366.0,3582.0
2020-04-14,MN,1695.0,37546.0,,177.0,405.0,75.0,155.0,,,909.0,2020-04-14T20:00:00Z,79.0,405.0,39241.0,39241.0,39241.0,27,9.0,44.0,769.0,45.0,814.0
2020-04-14,MO,4686.0,43292.0,,1041.0,,,,,,,2020-04-14T20:00:00Z,133.0,,47978.0,47978.0,47978.0,29,19.0,0.0,2252.0,298.0,2550.0
2020-04-14,MP,13.0,27.0,7.0,,,,,,,,2020-04-14T20:00:00Z,2.0,,47.0,40.0,40.0,69,0.0,0.0,0.0,2.0,2.0
2020-04-14,MS,3087.0,34791.0,,,596.0,154.0,,99.0,,,2020-04-14T20:00:00Z,111.0,596.0,37878.0,37878.0,37878.0,28,13.0,47.0,6749.0,145.0,6894.0
2020-04-14,MT,399.0,8835.0,,24.0,50.0,,,,,197.0,2020-04-14T20:00:00Z,7.0,50.0,9234.0,9234.0,9234.0,30,0.0,3.0,131.0,5.0,136.0
2020-04-14,NC,5024.0,60015.0,,418.0,,,,,,,2020-04-14T20:00:00Z,108.0,,65039.0,65039.0,65039.0,37,22.0,0.0,1443.0,208.0,1651.0
2020-04-14,ND,341.0,10575.0,,13.0,42.0,,,,,138.0,2020-04-14T20:00:00Z,9.0,42.0,10916.0,10916.0,10916.0,38,1.0,2.0,125.0,10.0,135.0
2020-04-14,NE,871.0,10486.0,,,,,,,,,2020-04-14T20:00:00Z,18.0,,11357.0,11357.0,11357.0,31,1.0,0.0,328.0,57.0,385.0
2020-04-14,NH,1020.0,10590.0,25.0,72.0,152.0,,,,,249.0,2020-04-14T20:00:00Z,23.0,152.0,11635.0,11610.0,11610.0,33,0.0,0.0,368.0,35.0,403.0
2020-04-14,NJ,68824.0,70950.0,,8185.0,,2051.0,,1626.0,,,2020-04-14T20:00:00Z,2805.0,,139774.0,139774.0,139774.0,34,362.0,0.0,6065.0,4240.0,10305.0
2020-04-14,NM,1345.0,30625.0,,87.0,181.0,,,,,304.0,2020-04-14T20:00:00Z,31.0,181.0,31970.0,31970.0,31970.0,35,5.0,181.0,1355.0,100.0,1455.0
2020-04-14,NV,3088.0,23573.0,,,,,,,,,2020-04-14T20:00:00Z,120.0,,26661.0,26661.0,26661.0,32,6.0,0.0,1080.0,117.0,1197.0
2020-04-14,NY,202208.0,296935.0,,18697.0,44286.0,5225.0,,,,25589.0,2020-04-14T20:00:00Z,10834.0,44286.0,499143.0,499143.0,499143.0,36,778.0,1649.0,13609.0,7177.0,20786.0
2020-04-14,OH,7153.0,60721.0,,,2156.0,,654.0,,,,2020-04-14T20:00:00Z,324.0,2156.0,67874.0,67874.0,67874.0,39,50.0,123.0,2584.0,178.0,2762.0
